time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021/2/1 7:00,1.37007,1.37008,1.37003,1.37003,1.37147,1.37148,1.37143,1.37143
2021/2/1 7:01,1.37003,1.37008,1.37003,1.37004,1.37143,1.37148,1.37143,1.37144
2021/2/1 7:02,1.37004,1.37004,1.3699,1.36993,1.37144,1.37144,1.3713,1.37133
2021/2/1 7:03,1.36993,1.36998,1.36993,1.36996,1.37133,1.37138,1.37133,1.37136
2021/2/1 7:04,1.36996,1.36996,1.36993,1.36994,1.37136,1.37136,1.37133,1.37134
2021/2/1 7:05,1.36994,1.36995,1.36994,1.36994,1.37134,1.37135,1.37134,1.37134
2021/2/1 7:06,1.36994,1.36999,1.36994,1.36999,1.37134,1.37139,1.37134,1.37139
2021/2/1 7:07,1.36999,1.36999,1.3699,1.36998,1.37139,1.37139,1.3713,1.37138
2021/2/1 7:08,1.36998,1.36999,1.36995,1.36995,1.37138,1.37139,1.37135,1.37135
2021/2/1 7:09,1.36995,1.36997,1.36986,1.36994,1.37135,1.37137,1.37126,1.37134
2021/2/1 7:10,1.36994,1.37062,1.3699,1.37062,1.37134,1.37137,1.37056,1.37072
2021/2/1 7:11,1.37062,1.37063,1.3706,1.3706,1.37072,1.37073,1.3707,1.3707
2021/2/1 7:12,1.3706,1.37062,1.37048,1.3706,1.3707,1.37072,1.37058,1.3707
2021/2/1 7:13,1.3706,1.3706,1.37049,1.37057,1.3707,1.3707,1.37059,1.37067
2021/2/1 7:14,1.37057,1.37061,1.37014,1.37058,1.37067,1.37111,1.37063,1.37068
2021/2/1 7:15,1.37058,1.3706,1.37054,1.37057,1.37068,1.3707,1.37064,1.37067
2021/2/1 7:16,1.37057,1.37057,1.37053,1.37053,1.37067,1.37067,1.37063,1.37063
2021/2/1 7:17,1.37053,1.37058,1.37053,1.37058,1.37063,1.37068,1.37063,1.37068
2021/2/1 7:18,1.37058,1.37058,1.37056,1.37056,1.37068,1.37068,1.37066,1.37066
2021/2/1 7:19,1.37056,1.37064,1.37055,1.37064,1.37066,1.37074,1.37065,1.37074
2021/2/1 7:20,1.37064,1.37064,1.37023,1.37063,1.37074,1.37113,1.37073,1.37073
2021/2/1 7:21,1.37063,1.37065,1.37017,1.37017,1.37073,1.37107,1.37067,1.37107
2021/2/1 7:22,1.37017,1.37071,1.37017,1.37061,1.37107,1.3711,1.37067,1.37071
2021/2/1 7:23,1.37061,1.37062,1.37053,1.37053,1.37071,1.37072,1.37063,1.37063
2021/2/1 7:24,1.37053,1.3706,1.37051,1.3706,1.37063,1.3707,1.37061,1.3707
2021/2/1 7:25,1.3706,1.37062,1.37059,1.37059,1.3707,1.37072,1.37069,1.37069
2021/2/1 7:26,1.37059,1.37064,1.37058,1.37059,1.37069,1.37074,1.37068,1.37069
2021/2/1 7:27,1.37059,1.37059,1.37057,1.37057,1.37069,1.37069,1.37067,1.37067
2021/2/1 7:28,1.37057,1.37071,1.37021,1.37061,1.37067,1.37111,1.37067,1.37071
2021/2/1 7:29,1.37061,1.37063,1.37058,1.37059,1.37071,1.37073,1.37068,1.37069
2021/2/1 7:30,1.37059,1.37062,1.37055,1.37058,1.37069,1.37072,1.37065,1.37068
2021/2/1 7:31,1.37058,1.37062,1.37052,1.37054,1.37068,1.37072,1.37062,1.37064
2021/2/1 7:32,1.37054,1.37055,1.37049,1.3705,1.37064,1.37065,1.37059,1.3706
2021/2/1 7:33,1.3705,1.37057,1.37049,1.37052,1.3706,1.37067,1.37059,1.37062
2021/2/1 7:34,1.37052,1.37069,1.3705,1.37053,1.37062,1.37079,1.3706,1.37063
2021/2/1 7:35,1.37053,1.3707,1.3705,1.37058,1.37063,1.3708,1.3706,1.37068
2021/2/1 7:36,1.37058,1.3706,1.37055,1.3706,1.37068,1.3707,1.37065,1.3707
2021/2/1 7:37,1.3706,1.37068,1.37053,1.37055,1.3707,1.37078,1.37063,1.37065
2021/2/1 7:38,1.37055,1.37057,1.37053,1.37053,1.37065,1.37067,1.37063,1.37063
2021/2/1 7:39,1.37053,1.37067,1.37049,1.37049,1.37063,1.37077,1.37059,1.37059
2021/2/1 7:40,1.37049,1.37065,1.37049,1.37059,1.37059,1.37075,1.37059,1.37069
2021/2/1 7:41,1.37059,1.37069,1.37054,1.37054,1.37069,1.37079,1.37064,1.37064
2021/2/1 7:42,1.37054,1.37069,1.37051,1.37056,1.37064,1.37079,1.37061,1.37066
2021/2/1 7:43,1.37056,1.3707,1.37052,1.37055,1.37066,1.3708,1.37062,1.37065
2021/2/1 7:44,1.37055,1.37055,1.37051,1.37052,1.37065,1.37065,1.37061,1.37062
2021/2/1 7:45,1.37052,1.37053,1.37049,1.37051,1.37062,1.37063,1.37059,1.37061
2021/2/1 7:46,1.37051,1.37056,1.37022,1.37022,1.37061,1.37066,1.37032,1.37032
2021/2/1 7:47,1.37022,1.37036,1.36965,1.37013,1.37032,1.37086,1.37021,1.37023
2021/2/1 7:48,1.37013,1.37015,1.3701,1.37015,1.37023,1.37025,1.3702,1.37025
2021/2/1 7:49,1.37015,1.37022,1.37008,1.37008,1.37025,1.37032,1.37018,1.37018
2021/2/1 7:50,1.37008,1.37041,1.37005,1.37023,1.37018,1.37051,1.37015,1.37033
2021/2/1 7:51,1.37023,1.37049,1.36993,1.37043,1.37033,1.37087,1.37033,1.37053
2021/2/1 7:52,1.37043,1.37043,1.37039,1.3704,1.37053,1.37053,1.37049,1.3705
2021/2/1 7:53,1.3704,1.3704,1.37038,1.3704,1.3705,1.3705,1.37048,1.3705
2021/2/1 7:54,1.3704,1.37041,1.37024,1.37024,1.3705,1.37051,1.37034,1.37034
2021/2/1 7:55,1.37024,1.37029,1.37022,1.37029,1.37034,1.37039,1.37032,1.37039
2021/2/1 7:56,1.37029,1.37073,1.37005,1.37006,1.37039,1.37116,1.37038,1.37096
2021/2/1 7:57,1.37006,1.37084,1.37006,1.37049,1.37096,1.37119,1.37057,1.37059
2021/2/1 7:58,1.37049,1.37052,1.37043,1.3705,1.37059,1.37062,1.37053,1.3706
2021/2/1 7:59,1.3705,1.37065,1.37005,1.37045,1.3706,1.37096,1.37055,1.37055
2021/2/1 8:00,1.37045,1.37085,1.37,1.37068,1.37055,1.37132,1.37049,1.37078
2021/2/1 8:01,1.37068,1.37068,1.36997,1.37043,1.37078,1.37093,1.37046,1.37053
